Date,brand,hits_page_pagetitle,page_views
2019-10-31,the-new-yorker,The New Yorker,108780
2019-11-01,the-new-yorker,The New Yorker,99853
2019-11-02,the-new-yorker,The New Yorker,79287
2019-11-03,the-new-yorker,Editing Donald Trump’s “The Art of the Deal” | The New Yorker,220771
2019-11-04,the-new-yorker,The New Yorker,118033
2019-11-05,the-new-yorker,The New Yorker,110625
2019-11-06,the-new-yorker,Editing Donald Trump’s “The Art of the Deal” | The New Yorker,306493
2019-11-07,the-new-yorker,The New Yorker,107017
2019-11-08,the-new-yorker,Bloomberg Offers Trump Ten Billion Dollars to Leave White House by End of Day,150666
2019-11-09,the-new-yorker,The New Yorker,78286
2019-11-10,the-new-yorker,The New Yorker,82543
2019-11-11,the-new-yorker,Is the Supreme Court’s Fate in Elena Kagan’s Hands? | The New Yorker,164672
2019-11-12,the-new-yorker,Is the Supreme Court’s Fate in Elena Kagan’s Hands? | The New Yorker,142376
2019-11-13,the-new-yorker,The Case Against Boeing | The New Yorker,114556
2019-11-14,the-new-yorker,The New Yorker,107501
2019-11-15,the-new-yorker,The New Yorker,107313
2019-11-16,the-new-yorker,"In Trump’s Jaded Capital, Marie Yovanovitch’s Uncynical Outrage in the Impeachment Hearings | The New Yorker",131495
2019-11-17,the-new-yorker,The New Yorker,85459
2019-11-18,the-new-yorker,The New Yorker,118794
2019-11-19,the-new-yorker,Trump Impeachment Hearings: Alexander Vindman Testifies to the Power of Truth | The New Yorker,130149
2019-11-20,the-new-yorker,The New Yorker,118655
2019-11-21,the-new-yorker,The New Yorker,114281
2019-11-22,the-new-yorker,The Extraordinary Impeachment Testimony of Fiona Hill | The New Yorker,278033
2019-11-23,the-new-yorker,The Awful Truth About Impeachment | The New Yorker,107002
2019-11-24,the-new-yorker,What’s Wrong with Me? | The New Yorker,124599
2019-11-25,the-new-yorker,The New Yorker,112514
2019-11-26,the-new-yorker,The Inside Story of Christopher Steele’s Trump Dossier | The New Yorker,160538
2019-11-27,the-new-yorker,The Twenty-Seven Best Movies of the Decade | The New Yorker,187591
2019-11-28,the-new-yorker,The Invention of Thanksgiving | The New Yorker,83919
2019-11-29,the-new-yorker,The New Yorker,83324
2019-11-30,the-new-yorker,The New Yorker,76130
2019-12-01,the-new-yorker,Jamie Lee Curtis Has Never Worked Hard a Day in Her Life | The New Yorker,301094
2019-12-02,the-new-yorker,Blood and Soil in Narendra Modi’s India | The New Yorker,411068
2019-12-03,the-new-yorker,Blood and Soil in Narendra Modi’s India | The New Yorker,496679
2019-12-04,the-new-yorker,Blood and Soil in Narendra Modi’s India | The New Yorker,261091
2019-12-05,the-new-yorker,Blood and Soil in Narendra Modi’s India | The New Yorker,149256
2019-12-06,the-new-yorker,"Adam Schiff on Donald Trump, Impeachment, and What’s Next | The New Yorker",168469
2019-12-07,the-new-yorker,Impeaching Donald Trump Is Already a Win for Democrats | The New Yorker,100474
2019-12-08,the-new-yorker,A Powerful Statement of Resistance from a College Student on Trial in Moscow | The New Yorker,226241
2019-12-09,the-new-yorker,The New Yorker,112168
2019-12-10,the-new-yorker,The New Yorker,111458
2019-12-11,the-new-yorker,The New Yorker,103171
2019-12-12,the-new-yorker,The Age of Instagram Face | The New Yorker,117810
2019-12-13,the-new-yorker,Peter Dinklage Is Still Punk Rock | The New Yorker,159838
